# Every named label/address in the real Contra (US) ROM (RAM addresses and
# CPU code addresses alike), extracted from `vermiceli/nes-contra-us`'s own
# build output - this is real, personally-verified data, not guessed:
#
#   1. Install a C toolchain (this project used MSYS2's mingw64 gcc + make
#      on Windows; any gcc/make + git works).
#   2. git clone https://github.com/cc65/cc65.git && cd cc65 && make -j4
#      (produces bin/ca65, bin/ld65, etc.)
#   3. git clone https://github.com/vermiceli/nes-contra-us.git
#   4. Copy your own legally-dumped Contra (USA) ROM into that clone as
#      baserom.nes (MD5 7bdad8b4a7a56a634c9649d20bd3011b - the same ROM
#      contra-nes expects).
#   5. With cc65's bin/ on PATH: bash build.sh Contra
#      This reassembles the disassembly and prints "File integrity
#      matches." if (as it did when this file was generated) the result is
#      byte-for-byte identical to baserom.nes - the concrete confirmation
#      behind docs/NATIVE_PORT.md's trust in this source.
#   6. ld65 (invoked by build.sh) also writes contra.dbg, a full debug
#      symbol table. This file is:
#      grep '^sym.*type=lab' contra.dbg \
#        | sed -E 's/.*name="([^"]+)".*val=(0x[0-9A-Fa-f]+).*/\2 \1/' \
#        | sort
#
# Use this instead of the raw-byte-search technique (search the ROM for a
# routine's known opening instructions, convert the file offset to a CPU
# address by hand - still valid, just slower and only needed for anything
# NOT in this list, if that ever comes up) documented in
# docs/NATIVE_PORT.md and docs/FIDELITY.md: an exact address for almost any
# named routine or RAM variable, instantly, with no guessing. Cross-checked
# against two addresses already found the hard way before this file
# existed - `get_bg_collision` (0xE0BB) and `initialize_enemy` (0xEE47) -
# both match exactly.
#
# Regenerate this file (steps above) any time; it's a derived reference,
# not hand-maintained.
0x3C EXTRA_LIFE_SCORE_LOW
0x3C8 PLAYER_BULLET_X_POS
0x3D EXTRA_LIFE_SCORE_HIGH
0x3D8 PLAYER_BULLET_Y_VEL_FRACT
0x3E8 PLAYER_BULLET_X_VEL_FRACT
0x3F KONAMI_CODE_NUM_CORRECT
0x3F8 PLAYER_BULLET_Y_VEL_FAST
0x40 LEVEL_LOCATION_TYPE
0x408 PLAYER_BULLET_X_VEL_FAST
0x41 LEVEL_SCROLLING_TYPE
0x418 PLAYER_BULLET_TIMER
0x42 LEVEL_SCREEN_SUPERTILES_PTR
0x428 PLAYER_BULLET_AIM_DIR
0x438 PLAYER_BULLET_ROUTINE
0x44 LEVEL_SUPERTILE_DATA_PTR
0x448 PLAYER_BULLET_OWNER
0x458 PLAYER_BULLET_F_RAPID
0x458 PLAYER_BULLET_S_INDOOR_ADJ
0x46 LEVEL_SUPERTILE_PALETTE_DATA
0x468 PLAYER_BULLET_DIST
0x468 PLAYER_BULLET_S_ADJ_ACCUM
0x478 PLAYER_BULLET_FS_X
0x48 LEVEL_ALT_GRAPHICS_POS
0x488 PLAYER_BULLET_F_Y
0x488 PLAYER_BULLET_S_RAPID
0x49 COLLISION_CODE_1_TILE_INDEX
0x498 PLAYER_BULLET_VEL_FS_X_ACCUM
0x4A COLLISION_CODE_0_TILE_INDEX
0x4A8 PLAYER_BULLET_S_BULLET_NUM
0x4A8 PLAYER_BULLET_VEL_F_Y_ACCUM
0x4B COLLISION_CODE_2_TILE_INDEX
0x4B8 ENEMY_ROUTINE
0x4C LEVEL_PALETTE_CYCLE_INDEXES
0x4C8 ENEMY_Y_VEL_ACCUM
0x4D8 ENEMY_X_VEL_ACCUM
0x4E8 ENEMY_Y_VELOCITY_FAST
0x4F8 ENEMY_Y_VELOCITY_FRACT
0x50 LEVEL_PALETTE_INDEX
0x508 ENEMY_X_VELOCITY_FAST
0x518 ENEMY_X_VELOCITY_FRACT
0x528 ENEMY_TYPE
0x538 ENEMY_ANIMATION_DELAY
0x548 ENEMY_VAR_A
0x558 ENEMY_ATTACK_DELAY
0x558 ENEMY_VAR_B
0x568 ENEMY_FRAME
0x578 ENEMY_HP
0x58 LEVEL_STOP_SCROLL
0x588 ENEMY_SCORE_COLLISION
0x59 LEVEL_SOLID_BG_COLLISION_CHECK
0x598 ENEMY_STATE_WIDTH
0x5A DEMO_INPUT_NUM_FRAMES
0x5A8 ENEMY_ATTRIBUTES
0x5B8 ENEMY_VAR_1
0x5C DEMO_INPUT_VAL
0x5C8 ENEMY_VAR_2
0x5D8 ENEMY_VAR_3
0x5E DEMO_INPUT_TBL_INDEX
0x5E8 ENEMY_VAR_4
0x60 PPU_WRITE_TILE_OFFSET
0x600 LEVEL_SCREEN_SUPERTILES
0x61 LEVEL_TRANSITION_TIMER
0x62 PPU_WRITE_ADDRESS_LOW_BYTE
0x63 PPU_WRITE_ADDRESS_HIGH_BYTE
0x64 LEVEL_SCREEN_NUMBER
0x65 LEVEL_SCREEN_SCROLL_OFFSET
0x66 ATTRIBUTE_TBL_WRITE_LOW_BYTE
0x67 ATTRIBUTE_TBL_WRITE_HIGH_BYTE
0x68 FRAME_SCROLL
0x680 BG_COLLISION_DATA
0x69 SUPERTILE_NAMETABLE_OFFSET
0x6A SPRITE_LOAD_TYPE
0x6B CONT_END_SELECTION
0x700 CPU_GRAPHICS_BUFFER
0x71 ALT_GRAPHIC_DATA_LOADING_FLAG
0x72 LEVEL_PALETTE_CYCLE
0x73 INDOOR_SCROLL
0x74 BG_PALETTE_ADJ_TIMER
0x75 AUTO_SCROLL_TIMER_00
0x76 AUTO_SCROLL_TIMER_01
0x77 TANK_AUTO_SCROLL
0x78 PAUSE_PALETTE_CYCLE
0x79 SOLDIER_GENERATION_ROUTINE
0x7A SOLDIER_GENERATION_TIMER
0x7B SOLDIER_GENERATION_X_POS
0x7C SOLDIER_GENERATION_Y_POS
0x7C0 PALETTE_CPU_BUFFER
0x7D FALCON_FLASH_TIMER
0x7E0 HIGH_SCORE_LOW
0x7E1 HIGH_SCORE_HIGH
0x7E2 PLAYER_1_SCORE_LOW
0x7E3 PLAYER_1_SCORE_HIGH
0x7E4 PLAYER_2_SCORE_LOW
0x7E5 PLAYER_2_SCORE_HIGH
0x7EC PREVIOUS_ROM_BANK
0x7ED PREVIOUS_ROM_BANK_1
0x7F TANK_ICE_JOINT_SCROLL_FLAG
0x80 ENEMY_LEVEL_ROUTINES
0x8001 graphic_data_03
0x8001 graphic_data_05
0x8001 graphic_data_0c
0x8001 level_1_supertile_data
0x8001 level_1_supertiles_screen_ptr_table
0x8001 pulse_volume_ptr_tbl
0x8001 weapon_item_routine_ptr_tbl
0x8007 weapon_item_routine_00
0x801D level_1_supertiles_screen_00
0x8030 @set_velocity_outdoor
0x8041 @continue
0x8048 level_1_supertiles_screen_01
0x8059 weapon_item_advance_enemy_routine
0x805C weapon_item_init_vel_tbl
0x8068 weapon_item_routine_01
0x806D mute_pulse_channel
0x8077 mute_unmute_pulse_channel
0x8079 level_1_supertiles_screen_02
0x8081 unmute_pulse_channel
0x808D set_pulse_timer_and_length
0x808F @exit
0x8090 @outdoor_pos_update
0x809F sound_check_pause
0x80A3 @check_collision_reverse_dir
0x80A7 level_1_supertiles_screen_03
0x80B0 @unpausing
0x80B8 @check_collision
0x80C0 @unmute_pulse_2
0x80C3 @reverse_direction
0x80C6 @add_10_to_y_fract_vel
0x80C8 @toggle_pulse_channel
0x80C9 @top_of_screen_check
0x80CF level_1_supertiles_screen_04
0x80D0 check_weapon_item_collision
0x80D4 sound_check_exit
0x80D5 handle_sound_slots
0x80DC @sound_slot_loop
0x80E1 clear_carry_exit
0x80E3 weapon_item_check_bg_collision
0x80EB @prep_next_loop
0x80F9 @continue
0x80F9 @load_sound_channel_offset
0x80FB @continue_2
0x80FC level_1_supertiles_screen_05
0x80FE @loop_next
0x8100 weapon_item_routine_02
0x8102 sound_music_entry_exit
0x8103 handle_sound_code
0x810E @outdoor_weapon_item
0x810F @check_sound_command
0x8118 level_1_supertiles_screen_06
0x811B @exit
0x811C set_weapon_item_sprite
0x811D @pulse_vol_and_vibrato
0x8132 level_1_supertiles_screen_07
0x8139 @set_sprite_code
0x813C @set_a_to_sprite_code_exit
0x8140 @check_pulse_volume
0x8140 weapon_item_sprite_code_tbl
0x8147 enemy_bullet_routine_ptr_tbl
0x8149 level_1_supertiles_screen_08
0x814C @check_volume_source
0x814F enemy_bullet_routine_00
0x8154 lvl_config_pulse
0x815B bullet_collision_code_tbl
0x8161 enemy_bullet_routine_01
0x8163 lvl_pulse_volume_byte
0x8169 level_1_supertiles_screen_09
0x816E @init_bullet_vel_pos_sprite
0x8172 set_pulse_config_a
0x8175 set_pulse_config
0x8181 @continue
0x818C @exit
0x818E @continue
0x818F handle_sound_code_exit_00
0x8190 lvl_pulse_volume_ctrl_code
0x8191 level_1_supertiles_screen_0a
0x819E disable_lvl_pulse_ctrl_exit
0x81A5 enemy_bullet_routine_01_exit
0x81A6 bullet_04_palette_mirror_tbl
0x81A7 handle_possible_decrescendo
0x81AA indoor_bullet_offscreen_check
0x81AC check_decrescendo_end_pause
0x81B0 level_1_supertiles_screen_0b
0x81BC @exit
0x81BC @remove_bullet
0x81BD lower_pulse_volume
0x81BF cannonball_add_gravity_explode
0x81CD @pause_decrescendo
0x81D5 adv_bullet_routine
0x81D6 level_1_supertiles_screen_0c
0x81D8 bullet_sprite_tbl
0x81D8 resume_decrescendo
0x81DE bullet_palette_tbl
0x81E3 handle_sound_code_exit_01
0x81E4 enemy_bullet_routine_02
0x81E7 read_low_sound_cmd
0x81F2 @interpret_sound_byte
0x81F5 pulse_sustain_note
0x82 ENEMY_SCREEN_READ_OFFSET
0x8201 enemy_bullet_exit
0x8202 cannonball_explosion_sprite_tbl
0x8205 weapon_box_routine_ptr_tbl
0x8206 level_2_supertiles_screen_ptr_table
0x821B weapon_box_routine_00
0x8222 @check_vibrato_ctrl
0x8222 set_enemy_delay_adv_routine_far
0x8225 weapon_box_routine_01
0x822C @set_pulse_period
0x8235 @apply_vibrato
0x8236 level_4_supertiles_screen_ptr_table
0x8243 adv_to_weapon_box_routine_03
0x8248 weapon_box_routine_02
0x8250 @pitch_up
0x8259 read_sound_command_00
0x825C read_high_sound_cmd
0x826E @regular_sound_cmd
0x8276 level_2_supertiles_screen_00
0x827B @open_weapon_box
0x8288 parse_percussion_cmd
0x828F @set_animation_delay
0x8297 @continue
0x829C inc_weapon_box_frame
0x829E @control_nibble_d
0x829F weapon_box_exit
0x82A0 dec_weapon_box_frame
0x82A4 level_2_supertiles_screen_05
0x82A4 set_weapon_box_supertile
0x82A9 play_percussive_sound
0x82AD weapon_box_supertile_tbl
0x82B0 weapon_box_routine_03
0x82BD weapon_box_routine_04
0x82C9 @exit
0x82CC @continue
0x82CD percussion_tbl
0x82D2 level_2_supertiles_screen_04
0x82D4 play_explosion_sound
0x82D5 interpret_sound_byte
0x82E4 @continue
0x82F3 @high_nibble_not_2
0x82F4 weapon_box_exit_1
0x82F5 weapon_box_destroyed_supertile
0x83 ENEMY_CURRENT_SLOT
0x8300 level_2_supertiles_screen_01
0x8305 flying_capsule_routine_ptr_tbl
0x830B flying_capsule_routine_00
0x830E @set_sweep
0x8318 @pulse_1_set_sweep_continue
0x831F @set_sweep_continue
0x8327 @next_high_control_sound_byte
0x832E @flatten_note
0x832E @set_vertical_level_vel
0x832E level_2_supertiles_screen_02
0x8339 @high_nibble_not_1
0x833A @set_vel_adv_routine
0x8348 @set_in_mem_cfg
0x8355 flying_capsule_vel_tbl
0x835C @set_cfg_period_length
0x835C level_2_supertiles_screen_03
0x835D flying_capsule_routine_01
0x8364 @load_set_period_length
0x836E @continue
0x8373 @update_enemy_pos
0x8375 @dont_set_volume
0x8376 flying_capsule_routine_02
0x8379 rotating_gun_routine_ptr_tbl
0x837B cfg_triangle_channel
0x8384 prep_pulse_set_note
0x838A level_4_supertiles_screen_00
0x838D rotating_gun_routine_00
0x8395 simple_sound_cmd
0x8397 rotating_gun_routine_01
0x83A5 rotating_gun_set_delay_adv_routine_exit
0x83A8 rotating_gun_adv_routine_exit
0x83AB rotating_gun_exit_00
0x83AC rotating_gun_routine_02
0x83AD clear_mute_set_note
0x83B1 level_1_nametable_update_supertile_data
0x83C0 level_4_supertiles_screen_05
0x83CD @continue
0x83D5 rotating_gun_routine_03
0x83DA rotating_gun_disable
0x83DF rotating_gun_routine_03_continue
0x83E0 @loop
0x83EB @exit_loop
0x83F6 level_4_supertiles_screen_04
0x84 BOSS_AUTO_SCROLL_COMPLETE
0x8402 @draw_supertile
0x8406 @load_slot_set_note
0x8409 set_note
0x840B @exit
0x840C @set_vars_adv_routine
0x8416 @continue_00
0x8420 rotating_gun_bullets_per_attack_tbl
0x8424 rotating_gun_should_disable
0x842C level_4_supertiles_screen_01
0x842E rotating_gun_routine_04
0x8431 @continue_01
0x8433 @set_length
0x8440 @set_period
0x844C @set_apu_period
0x8454 @restore_x_adv_sound_ptr
0x8457 adv_sound_cmd_addr
0x8462 level_4_supertiles_screen_02
0x8467 restore_parent_sound_cmd_addr
0x846A @exit
0x846B rotating_gun_rotation_delay_tbl
0x846F rotating_gun_animation_delay_tbl
0x8473 rotating_gun_bullet_y_offset_tbl
0x8476 rotating_gun_bullet_x_offset_tbl
0x847E low_nibble_f
0x8482 rotating_gun_routine_05
0x848C exe_channel_init_ptr_tbl_routine
0x848F rotating_gun_routine_06
0x8498 level_4_supertiles_screen_03
0x849C set_carry_if_past_trigger_point
0x84A2 sound_cmd_routine_03
0x84AD @vertical_level
0x84B4 @exit_carry_set
0x84B6 @exit_carry_clear
0x84B7 rotating_gun_exit_01
0x84B8 red_turret_routine_ptr_tbl
0x84C6 @repeat_cmd
0x84CA red_turret_routine_00
0x84CE level_3_supertiles_screen_ptr_table
0x84D4 red_turret_routine_01
0x84D6 @move_sound_code_read_addr
0x84D9 @load_sound_code_addr
0x84DC read_sound_command_01
0x84DF red_turret_set_delay_adv_routine
0x84E2 level_3_supertiles_screen_09
0x84E2 red_turret_adv_routine
0x84E4 level_3_supertiles_screen_08
0x84E5 @read_low_sound_cmd
0x84E5 red_turret_add_scroll_to_pos
0x84E8 red_turret_routine_02
0x84E8 skip_3_read_sound_command_01
0x85 BOSS_SCREEN_ENEMIES_DESTROYED
0x8500 sound_cmd_routine_00
0x8504 @set_attack_delay_enable_collision
0x850C @continue
0x850E red_turret_load_supertile
0x8514 @adv_read_addr
0x8515 level_3_supertiles_screen_07
0x8522 sound_cmd_routine_01
0x8523 @load_supertile
0x852A @set_carry_exit
0x852C red_turret_supertile_1_tbl
0x852E red_turret_supertile_2_tbl
0x8531 level_3_supertiles_screen_06
0x8537 red_turret_routine_03
0x8539 @set_cfg_read_sound_byte
0x8550 @gen_bullet_if_appropriate
0x8555 set_sound_triangle_config
0x855B @continue
0x855C level_3_supertiles_screen_05
0x855C sound_cmd_routine_02
0x8567 @high_val
0x8577 @flip_flatten_note_adv
0x8581 @continue2
0x8583 @set_vibrato_vars_adv
0x8588 @set_supertile_fire
0x8591 @dec_attack_delay_fire_bullet
0x8599 level_3_supertiles_screen_04
0x859C @end_of_sound_code
0x85A4 @generate_bullet
0x85A5 @set_pitch_adj_adv
0x85AE graphic_data_04
0x85B0 adv_sound_play_percussive
0x85B7 calc_cmd_len_play_percussion
0x85BB calc_cmd_delay
0x85C2 @calc_delay_loop
0x85C5 @bullet_offset_tbl_base
0x85CA red_turret_exit
0x85CB red_turret_bullet_offset_tbl
0x85CC @skip_loop
0x85CF @loop_complete
0x85D1 red_turret_routine_04
0x85D2 level_3_supertiles_screen_03
0x85E0 @continue
0x85E1 red_turret_routine_05
0x85EE @draw_supertile_adv_routine
0x85F1 @exit
0x85F2 @calc_decrescendo_pause_end
0x85F6 check_red_turret_firing_range
0x85FC @loop
0x86 WALL_CORE_REMAINING
0x8607 @exit
0x8608 soldier_routine_ptr_tbl
0x860D level_3_supertiles_screen_02
0x860E @set_e7_exit
0x861D load_sound_code_addr
0x861E soldier_routine_00
0x862A move_sound_code_read_addr
0x8634 soldier_initial_anim_delay_tbl
0x8635 level_3_supertiles_screen_01
0x8637 ldx_pulse_triangle_reg
0x8638 soldier_stop_y_set_x_velocity
0x863C @clc_exit
0x863E soldier_set_x_velocity
0x8642 @move_next_apu_reg
0x8646 @continue
0x8650 sound_exit_00
0x8651 mute_channel
0x865B @continue
0x865C soldier_routine_exit
0x865D soldier_x_vel_tbl
0x8665 soldier_routine_01
0x8667 level_3_supertiles_screen_00
0x866F @horizontal_level
0x8671 level_1_palette_data
0x8673 init_triangle_channel
0x8681 @continue
0x8683 init_pulse_channel
0x8686 @dec_delay_enable_set_vel
0x868B @enable_set_vel
0x868F level_5_supertiles_screen_ptr_table
0x8695 @enable_collision_set_vel
0x86A6 mute_noise_channel
0x86A7 @stop_y_set_x_adv_routine
0x86AC level_1_nametable_update_palette_data
0x86AF soldier_routine_02
0x86B7 sound_code_00
0x86BB level_5_supertiles_screen_00
0x86BF channel_init_ptr_tbl
0x86C7 @floor_solid_landing
0x86CD sound_cmd_ptr_tbl
0x86D5 note_period_tbl
0x86D8 @land_in_water_or_no_landing
0x86E1 @no_landing
0x86E1 level_2_4_tile_animation
0x86E1 level_5_supertiles_screen_01
0x86E7 @continue
0x87 WALL_PLATING_DESTROYED_COUNT
0x8700 level_5_supertiles_screen_02
0x8705 wait
0x870D @continue_walk_routine
0x8710 sound_master_ptr_tbl
0x8712 init_pulse_and_noise_channels
0x8718 level_2_supertile_data
0x8718 level_4_supertile_data
0x8719 @loop
0x8726 @soldier_move
0x8733 level_5_supertiles_screen_03
0x8746 @soldier_fall_off_ledge
0x8751 reset_channels
0x875D @cmp_player_dist
0x8763 @soldier_set_jump_vel
0x8763 level_5_supertiles_screen_04
0x8774 bank_1_unused_label_00
0x878A @pop_and_exit
0x878F bank_1_unused_label_01
0x8791 @set_sprite_update_pos
0x8792 level_5_supertiles_screen_05
0x8794 soldier_apply_vel_check_solid_collision
0x879B init_sound_code_vars
0x879E @continue
0x87A1 graphic_data_13
0x87A5 @check_dmc_init
0x87AC @check_boss_heart_destroyed_sound
0x87AE @check_collision_update_x_pos
0x87B6 @check_end_level_sound
0x87C2 @play_end_of_level_tune
0x87C5 set_soldier_sprite_update_pos
0x87C6 level_5_supertiles_screen_06
0x87C7 @check_dmc_play_sound
0x87CB soldier_change_direction
0x87CF @init_dmc_sample_value
0x87D4 @play_sound
0x87D9 get_soldier_num_bullets
0x87E6 @loop
0x87EB soldier_num_bullets_tbl
0x87F3 soldier_vel_index_tbl
0x87FA level_5_supertiles_screen_07
0x87FB soldier_velocity_tbl
0x88 INDOOR_ENEMY_ATTACK_COUNT
0x8803 soldier_routine_03
0x8805 load_sound_code_entry
0x8819 @continue
0x882A level_5_supertiles_screen_08
0x8831 @set_bullet_pos_and_fire
0x8845 @clear_pitch_adj
0x8847 @negative_x_offset
0x884A @continue
0x8850 @soldier_fire_bullet
0x8851 level_5_supertiles_screen_09
0x8855 level_5_supertiles_screen_0a
0x885E @config_channel
0x8863 level_5_supertiles_screen_0b
0x8864 set_soldier_sprite_add_scroll_01
0x886A soldier_fired_all_bullets
0x886C graphic_data_08
0x8876 convert_slot_to_offset
0x887A cfg_channel
0x8882 soldier_bullet_y_offset
0x8883 @set_cfg_exit
0x8886 soldier_bullet_x_offset
0x888A soldier_bullet_type_tbl
0x888C soldier_routine_09
0x888E play_sound_code_exit
0x8890 level_5_supertiles_screen_0c
0x8899 @load_entry
0x889C move_to_pulse_2
0x88A1 soldier_routine_0a
0x88A8 level_2_nametable_update_supertile_data
0x88A8 level_4_nametable_update_supertile_data
0x88A8 play_dpcm_sample
0x88B8 @continue
0x88BA soldier_set_y_pos_sprite_add_scroll
0x88BD set_soldier_sprite_add_scroll
0x88C3 soldier_routine_04
0x88C4 level_5_supertiles_screen_0d
0x88CB init_soldier_hit_vel
0x88DB dpcm_sample_data_tbl
0x88E8 sound_table_00
0x88EB level_5_supertiles_screen_0e
0x88ED @stop_x_vel_set_delay_adv_routine
0x88F0 @set_dir_delay_adv_routine
0x88F8 @set_delay_adv_routine
0x89 INDOOR_RED_SOLDIER_CREATED
0x8900 soldier_routine_05
0x8903 apply_gravity_to_destroyed_soldier
0x890E level_5_supertiles_screen_0f
0x8917 @adv_enemy_routine
0x891A set_soldier_sprite
0x8925 level_6_supertiles_screen_ptr_table
0x892C @set_sprite_attr
0x8936 @set_sprite_attr_exit
0x8939 soldier_routine_05_exit
0x893A soldier_sprite_codes
0x8941 level_6_supertiles_screen_00
0x8946 sniper_routine_ptr_tbl
0x8958 sniper_routine_00
0x8973 level_6_supertiles_screen_01
0x8976 @adv_enemy_routine
0x8979 sniper_animation_delay_tbl
0x897C sniper_animation_delay_2_tbl
0x897F sniper_frame_tbl
0x8982 sniper_routine_01
0x89A3 level_6_supertiles_screen_02
0x89AA @continue
0x89B4 @enable_collision_adv_routine
0x89CB sniper_routine_exit
0x89CC sniper_attack_delay_tbl
0x89CF sniper_bullet_attack_count_tbl
0x89D2 sniper_routine_02
0x89D5 level_6_supertiles_screen_03
0x89E5 @continue_fire_bullet
0x89FB @check_bullet_angle
0x8A GRENADE_LAUNCHER_FLAG
0x8A02 sound_02
0x8A07 level_6_supertiles_screen_04
0x8A0A sound_54
0x8A0D @adjust_bullet_angle_with_a
0x8A12 @adjust_bullet_angle_y_offset
0x8A1D @prep_create_bullet_vars
0x8A24 sound_01
0x8A25 @adjust_bullet_angle
0x8A25 sound_03
0x8A30 @continue
0x8A36 sound_04
0x8A3B @continue2
0x8A3D level_6_supertiles_screen_05
0x8A41 sound_05
0x8A47 @continue_create_bullet
0x8A54 @get_pos_create_bullet
0x8A61 graphic_data_07
0x8A6A @create_bullet
0x8A71 level_6_supertiles_screen_06
0x8A78 sound_06
0x8A82 sound_07
0x8A83 @exit
0x8A84 @standing_set_attack_count_exit
0x8A90 sound_08
0x8A95 @set_frame_adv_routine
0x8A9A sound_08_part_00
0x8A9F @set_enemy_frame_adv_routine
0x8AA7 level_6_supertiles_screen_07
0x8AA7 sniper_standing_sprite_tbl
0x8AAA sniper_bullet_y_offset
0x8AAD sniper_bullet_x_offset
0x8AB0 sniper_bullet_speed
0x8AB3 sniper_routine_03
0x8AB3 sound_0a
0x8AD3 @continue
0x8ADA level_6_supertiles_screen_08
0x8ADC sound_0b
0x8AEB @set_sprite_add_scroll_exit
0x8AEE sound_0b_part_00
0x8AF1 sniper_routine_04
0x8AFC sniper_routine_05
0x8B ALIEN_FETUS_AIM_TIMER_INDEX
0x8B02 sniper_set_sprite
0x8B05 sound_0c
0x8B0D @continue
0x8B0E level_6_supertiles_screen_09
0x8B15 sound_0c_part_00
0x8B29 @continue2
0x8B32 sound_0d
0x8B33 @set_sprite_attr_exit
0x8B37 sniper_sprite_ptr_tbl
0x8B3B sniper_sprite_00
0x8B40 level_6_supertiles_screen_0a
0x8B42 sniper_sprite_01
